197710,0.66,0.32,8.19,14,0,0,0.4318,0,3.5406,0
197711,0.66,0.33,8.08,14,0,0,0.4739,0,3.5827,0
197712,0.66,0.33,8.4,14,0,0,0.5168,0,3.6256,0
197801,0.66,0.33,8.28,15,0,0,0.0455,0,3.6711,0
197802,0.66,0.33,8.4,15,0,0,0.0874,0,3.713,0
197803,0.67,0.33,8.38,16,0,0,0.1368,0,3.7624,0
197804,0.69,0.36,8.61,16,0,0,0.1834,0,3.809,0
197805,0.67,0.35,8.61,16,0,0,0.2329,0,3.8585,0
197806,0.67,0.35,8.49,16,0,0,0.2804,0,3.906,0
197807,0.67,0.35,8.05,16,0,0,0.33,0,3.9556,0
197808,0.66,0.35,7.99,16,0,0,0.3794,0,4.005,0
197809,0.66,0.35,8.22,16,0,0,0.4369,0,4.0625,0
197810,0.66,0.35,8.35,16,0,0,0.4865,0,4.1121,0
197811,0.67,0.35,8.29,16,0,0,0.5355,0,4.1611,0
197812,0.67,0.36,8.38,18,0,0,0.5899,0,4.2155,0
197901,0.71,0.36,8.52,18,0,0,0.053,0,4.2685,0
197902,0.67,0.35,8.58,18,0,0,0.1031,0,4.3186,0
197903,0.67,0.35,8.21,18,0,0,0.1581,0,4.3736,0
197904,0.67,0.36,8.2,18,0,0,0.2103,0,4.4258,0
197905,0.66,0.36,8.42,18,0,0,0.2657,0,4.4812,0
197906,0.67,0.35,8.43,18,0,0,0.32,0,4.5355,0
197907,0.68,0.35,8.52,19,0,0,0.3787,0,4.5942,0
197908,0.68,0.35,8.4,19,0,0,0.4374,0,4.6529,0
197909,0.67,0.36,8.5,19,0,0,0.4939,0,4.7094,0
197910,0.68,0.37,8.65,20,0,0,0.5547,0,4.7702,0
197911,0.67,0.37,8.84,20,0,0,0.6136,0,4.8291,0
197912,0.67,0.37,8.84,20,0,0,0.6725,0,4.888,0
198001,0.67,0.37,8.69,21,0,0,0.0641,0,4.9521,0
198002,0.65,0.35,8.48,26,0,0,0.1331,0,5.0211,0
198003,0.64,0.35,8,27,0,0,0.2157,0,5.1037,0
198004,0.65,0.35,7.65,27,0,0,0.2968,0,5.1848,0
198005,0.65,0.33,7.68,26,0,0,0.3783,0,5.2663,0
198006,0.65,0.35,7.85,25,0,1.2,0.4521,0,5.3401,0
198007,0.65,0.35,8.02,25,0,2.8,0.5279,0,5.4159,0
198008,0.63,0.33,8.15,24,0,1.8,0.6022,0,5.4902,0
198009,0.64,0.33,8.07,27,0,2,0.6764,0,5.5644,0
198010,0.64,0.35,7.86,27,0,0.6,0.7564,0,5.6444,0
198011,0.64,0.33,7.86,27,0,0.6,0.8361,0,5.7241,0
198012,0.64,0.33,7.04,27,0,0.8,0.9195,0,5.8075,0
198101,0.65,0.33,7,27,0,1.4,0.0814,0,5.8889,0
198102,0.65,0.33,8.3,24,0,1,0.149,0,5.9565,0
198103,0.64,0.33,7.86,25,0,0.5,0.2267,0,6.0342,0
198104,0.64,0.32,7.91,24,0,2,0.2979,0,6.1054,0
198105,0.64,0.32,8.14,24,0,2,0.373,0,6.1805,0
198106,0.64,0.33,8.25,23,1,2.2,0.4425,0.0018,6.25,0.0018
198107,0.64,0.32,8.08,24,0,4,0.5161,0.0018,6.3236,0.0018
198108,0.63,0.33,8.24,22,0,4,0.6044,0.0042,6.4119,0.0042
198109,0.63,0.3,7.45,17,0,2.8,0.6746,0.0042,6.4821,0.0042
198110,0.56,0.24,7.16,30,0,1.8,0.7536,0.0042,6.5611,0.0042
198111,0.65,0.28,7.2,36,0,3,0.8358,0.0042,6.6433,0.0042
198112,0.65,0.28,7.36,39,0,3,0.9565,0.0042,6.764,0.0042
198201,0.64,0.28,7.4,34,0,2.8,0.1124,0.0011,6.8764,0.0053
198202,0.64,0.28,6.82,32,0,3.4,0.2128,0.0033,6.9768,0.0075
198203,0.63,0.26,7.85,29,0,4.6,0.293,0.0061,7.057,0.0103
198204,0.39,0.26,8.09,38,0,3.2,0.4068,0.0097,7.1708,0.0139
198205,0.37,0.26,7.81,31,0,4.2,0.5041,0.0125,7.2681,0.0167
